s (1,1) 392
(59,2) (59,3) 97
(60,2) (60,3) 87
(61,2) (61,3) 96
(62,2) (62,3) 130
(63,2) (63,3) 386
(64,2) (64,3) 315
(65,2) (65,3) 182
(66,2) (66,3) 15
(67,2) (67,3) 189
(68,2) (68,3) 252
(69,2) (69,3) 179
(70,2) (70,3) 385
(71,2) (71,3) 322
(72,2) (72,3) 76
(73,2) (73,3) 391
(74,2) (74,3) 296
(75,2) (75,3) 311
(76,2) (76,3) 277
(77,2) (77,3) 19
(78,2) (78,3) 309
(79,2) (79,3) 388
(80,2) (80,3) 211
(81,2) (81,3) 72
(82,2) (82,3) 245
(83,2) (83,3) 295
(84,2) (84,3) 283
(85,2) (85,3) 43
(86,2) (86,3) 296
(87,2) (87,3) 215
(88,2) (88,3) 396
(89,2) (89,3) 148
(90,2) (90,3) 349
(91,2) (91,3) 22
(92,2) (92,3) 49
(93,2) (93,3) 262
(94,2) (94,3) 396
(95,2) (95,3) 240
(96,2) (96,3) 111
(97,2) (97,3) 345
(98,2) (98,3) 159
(99,2) (99,3) 128
(100,2) (100,3) 49
(101,2) (101,3) 115
(102,2) (102,3) 30
(103,2) (103,3) 386
(104,2) (104,3) 78
(105,2) (105,3) 69
(106,2) (106,3) 150
(107,2) (107,3) 35
(108,2) (108,3) 36
(109,2) (109,3) 145
(110,2) (110,3) 245
(111,2) (111,3) 132
(112,2) (112,3) 243
(113,2) (113,3) 266
(114,2) (114,3) 388
(115,2) (115,3) 222
(116,2) (116,3) 136
(117,2) (117,3) 180
(118,2) (118,3) 385
(119,2) (119,3) 207
(120,2) (120,3) 164
(121,2) (121,3) 234
(122,2) (122,3) 232
(123,2) (123,3) 2
(124,2) (124,3) 233
(125,2) (125,3) 318
(126,2) (126,3) 14
(127,2) (127,3) 77
(128,2) (128,3) 353
(129,2) (129,3) 10
(130,2) (130,3) 26
(131,2) (131,3) 180
(132,2) (132,3) 282
(133,2) (133,3) 182
(134,2) (134,3) 272
(135,2) (135,3) 267
(136,2) (136,3) 2
(137,2) (137,3) 371
(138,2) (138,3) 315
(139,2) (139,3) 376
(140,2) (140,3) 138
(141,2) (141,3) 292
(142,2) (142,3) 103
(143,2) (143,3) 39
(144,2) (144,3) 282
(145,2) (145,3) 300
(146,2) (146,3) 184
(147,2) (147,3) 55
(148,2) (148,3) 210
(149,2) (149,3) 82
(150,2) (150,3) 90
(151,2) (151,3) 177
(152,2) (152,3) 88
(153,2) (153,3) 177
(154,2) (154,3) 374
(155,2) (155,3) 121
(156,2) (156,3) 3
(157,2) (157,3) 204
(158,2) (158,3) 205
(159,2) (159,3) 318
(160,2) (160,3) 51
(1,3) (1,4) 319
(2,3) (2,4) 116
(3,3) (3,4) 331
(4,3) (4,4) 186
(5,3) (5,4) 176
(6,3) (6,4) 28
(7,3) (7,4) 208
(8,3) (8,4) 171
(9,3) (9,4) 356
(10,3) (10,4) 349
(11,3) (11,4) 282
(12,3) (12,4) 270
(13,3) (13,4) 319
(14,3) (14,4) 255
(15,3) (15,4) 95
(16,3) (16,4) 205
(17,3) (17,4) 3
(18,3) (18,4) 101
(19,3) (19,4) 278
(20,3) (20,4) 334
(21,3) (21,4) 201
(22,3) (22,4) 102
(23,3) (23,4) 258
(24,3) (24,4) 93
(25,3) (25,4) 398
(26,3) (26,4) 73
(27,3) (27,4) 240
(28,3) (28,4) 260
(29,3) (29,4) 324
(30,3) (30,4) 108
(31,3) (31,4) 166
(32,3) (32,4) 10
(33,3) (33,4) 170
(34,3) (34,4) 353
(35,3) (35,4) 155
(36,3) (36,4) 294
(37,3) (37,4) 326
(38,3) (38,4) 390
(39,3) (39,4) 277
(40,3) (40,4) 319
(41,3) (41,4) 366
(42,3) (42,4) 336
(43,3) (43,4) 270
(44,3) (44,4) 146
(45,3) (45,4) 214
(46,3) (46,4) 275
(47,3) (47,4) 240
(48,3) (48,4) 46
(49,3) (49,4) 275
(50,3) (50,4) 80
(51,3) (51,4) 191
(52,3) (52,4) 319
(53,3) (53,4) 46
(54,3) (54,4) 331
(55,3) (55,4) 390
(56,3) (56,4) 309
(57,3) (57,4) 324
(58,3) (58,4) 71
(59,3) (59,4) 281
(60,3) (60,4) 304
(61,3) (61,4) 139
(62,3) (62,4) 209
(63,3) (63,4) 25
(64,3) (64,4) 298
(65,3) (65,4) 63
(66,3) (66,4) 374
(67,3) (67,4) 279
(68,3) (68,4) 353
(69,3) (69,4) 11
(70,3) (70,4) 50
(71,3) (71,4) 160
(72,3) (72,4) 32
(73,3) (73,4) 83
(74,3) (74,4) 166
(75,3) (75,4) 214
(76,3) (76,4) 218
(77,3) (77,4) 45
(78,3) (78,4) 53
(79,3) (79,4) 287
(80,3) (80,4) 146
(81,3) (81,4) 208
(82,3) (82,4) 331
(83,3) (83,4) 54
(84,3) (84,4) 329
(85,3) (85,4) 244
(86,3) (86,4) 218
(87,3) (87,4) 96
(88,3) (88,4) 213
(89,3) (89,4) 137
(90,3) (90,4) 211
(91,3) (91,4) 297
(92,3) (92,4) 138
(93,3) (93,4) 292
(94,3) (94,4) 270
(95,3) (95,4) 333
(96,3) (96,4) 119
(97,3) (97,4) 100
(98,3) (98,4) 165
(99,3) (99,4) 130
(100,3) (100,4) 128
(101,3) (101,4) 243
(102,3) (102,4) 291
(103,3) (103,4) 386
(104,3) (104,4) 196
(105,3) (105,4) 72
(106,3) (106,4) 4
(107,3) (107,4) 119
(108,3) (108,4) 42
(109,3) (109,4) 217
(110,3) (110,4) 25
(111,3) (111,4) 335
(112,3) (112,4) 269
(113,3) (113,4) 189
(114,3) (114,4) 188
(115,3) (115,4) 335
(116,3) (116,4) 337
(117,3) (117,4) 79
(118,3) (118,4) 106
(119,3) (119,4) 324
(120,3) (120,4) 176
(121,3) (121,4) 271
(122,3) (122,4) 209
(123,3) (123,4) 196
(124,3) (124,4) 262
(125,3) (125,4) 99
(126,3) (126,4) 391
(127,3) (127,4) 67
(128,3) (128,4) 85
(129,3) (129,4) 75
(130,3) (130,4) 372
(131,3) (131,4) 258
(132,3) (132,4) 6
(133,3) (133,4) 258
(134,3) (134,4) 350
(135,3) (135,4) 130
(136,3) (136,4) 93
(137,3) (137,4) 96
(138,3) (138,4) 271
(139,3) (139,4) 198
(140,3) (140,4) 327
(141,3) (141,4) 12
(142,3) (142,4) 341
(143,3) (143,4) 277
(144,3) (144,4) 227
(145,3) (145,4) 367
(146,3) (146,4) 390
(147,3) (147,4) 271
(148,3) (148,4) 282
(149,3) (149,4) 52
(150,3) (150,4) 61
(151,3) (151,4) 151
(152,3) (152,4) 380
(153,3) (153,4) 315
(154,3) (154,4) 117
(155,3) (155,4) 63
(156,3) (156,4) 185
(157,3) (157,4) 349
(158,3) (158,4) 257
(159,3) (159,4) 386
(160,3) (160,4) 184
(1,4) (1,5) 281
(2,4) (2,5) 230
(3,4) (3,5) 330
(4,4) (4,5) 39
(5,4) (5,5) 61
(6,4) (6,5) 102
(7,4) (7,5) 337
(8,4) (8,5) 256
(9,4) (9,5) 49
(10,4) (10,5) 74
(11,4) (11,5) 37
(12,4) (12,5) 149
(13,4) (13,5) 285
(14,4) (14,5) 379
(15,4) (15,5) 325
(16,4) (16,5) 360
(17,4) (17,5) 346
(18,4) (18,5) 365
(19,4) (19,5) 392
(20,4) (20,5) 281
(21,4) (21,5) 166
(22,4) (22,5) 248
(23,4) (23,5) 173
(24,4) (24,5) 364
(25,4) (25,5) 305
(26,4) (26,5) 36
(27,4) (27,5) 12
(28,4) (28,5) 86
(29,4) (29,5) 389
(30,4) (30,5) 272
(31,4) (31,5) 75
(32,4) (32,5) 308
(33,4) (33,5) 130
(34,4) (34,5) 223
(35,4) (35,5) 205
(36,4) (36,5) 216
(37,4) (37,5) 391
(38,4) (38,5) 304
(39,4) (39,5) 6
(40,4) (40,5) 1
(41,4) (41,5) 141
(42,4) (42,5) 25
(43,4) (43,5) 153
(44,4) (44,5) 390
(45,4) (45,5) 365
(46,4) (46,5) 367
(47,4) (47,5) 130
(48,4) (48,5) 303
(49,4) (49,5) 34
(50,4) (50,5) 85
(51,4) (51,5) 175
(52,4) (52,5) 161
(53,4) (53,5) 377
(54,4) (54,5) 78
(55,4) (55,5) 73
(56,4) (56,5) 323
(57,4) (57,5) 37
(58,4) (58,5) 160
(59,4) (59,5) 113
(60,4) (60,5) 257
(61,4) (61,5) 271
(62,4) (62,5) 231
(63,4) (63,5) 133
(64,4) (64,5) 333
(65,4) (65,5) 170
(66,4) (66,5) 35
(67,4) (67,5) 193
(68,4) (68,5) 252
(69,4) (69,5) 36
(70,4) (70,5) 112
(71,4) (71,5) 258
(72,4) (72,5) 324
(73,4) (73,5) 201
(74,4) (74,5) 272
(75,4) (75,5) 231
(76,4) (76,5) 112
(77,4) (77,5) 98
(78,4) (78,5) 311
(79,4) (79,5) 400
(80,4) (80,5) 190
(81,4) (81,5) 379
(82,4) (82,5) 386
(83,4) (83,5) 232
(84,4) (84,5) 214
(85,4) (85,5) 177
(86,4) (86,5) 36
(87,4) (87,5) 63
(88,4) (88,5) 55
(89,4) (89,5) 250
(90,4) (90,5) 95
(91,4) (91,5) 320
(92,4) (92,5) 287
(93,4) (93,5) 15
(94,4) (94,5) 284
(95,4) (95,5) 322
(96,4) (96,5) 230
(97,4) (97,5) 52
(98,4) (98,5) 359
(99,4) (99,5) 377
(100,4) (100,5) 344
(101,4) (101,5) 313
(102,4) (102,5) 313
(103,4) (103,5) 380
(104,4) (104,5) 61
(105,4) (105,5) 297
(106,4) (106,5) 243
(107,4) (107,5) 273
(108,4) (108,5) 183
(109,4) (109,5) 31
(110,4) (110,5) 293
(111,4) (111,5) 37
(112,4) (112,5) 296
(113,4) (113,5) 296
(114,4) (114,5) 360
(115,4) (115,5) 200
(116,4) (116,5) 45
(117,4) (117,5) 35
(118,4) (118,5) 286
(119,4) (119,5) 36
(120,4) (120,5) 90
(121,4) (121,5) 293
(122,4) (122,5) 388
(123,4) (123,5) 94
(124,4) (124,5) 163
(125,4) (125,5) 58
(126,4) (126,5) 368
(127,4) (127,5) 198
(128,4) (128,5) 261
(129,4) (129,5) 326
(130,4) (130,5) 93
(131,4) (131,5) 217
(132,4) (132,5) 335
(133,4) (133,5) 105
(134,4) (134,5) 289
(135,4) (135,5) 262
(136,4) (136,5) 144
(137,4) (137,5) 160
(138,4) (138,5) 391
(139,4) (139,5) 125
(140,4) (140,5) 238
(141,4) (141,5) 376
(142,4) (142,5) 61
(143,4) (143,5) 66
(144,4) (144,5) 208
(145,4) (145,5) 158
(146,4) (146,5) 188
(147,4) (147,5) 1
(148,4) (148,5) 185
(149,4) (149,5) 322
(150,4) (150,5) 223
(151,4) (151,5) 380
(152,4) (152,5) 226
(153,4) (153,5) 362
(154,4) (154,5) 147
(155,4) (155,5) 240
(156,4) (156,5) 386
(157,4) (157,5) 259
(158,4) (158,5) 10
(159,4) (159,5) 262
(160,4) (160,5) 188
(1,5) (1,6) 18
(2,5) (2,6) 315
(3,5) (3,6) 85
(4,5) (4,6) 53
(5,5) (5,6) 8
(6,5) (6,6) 265
(7,5) (7,6) 36
(8,5) (8,6) 225
(9,5) (9,6) 132
(10,5) (10,6) 302
(11,5) (11,6) 333
(12,5) (12,6) 217
(13,5) (13,6) 338
(14,5) (14,6) 277
(15,5) (15,6) 349
(16,5) (16,6) 11
(17,5) (17,6) 145
(18,5) (18,6) 369
(19,5) (19,6) 121
(20,5) (20,6) 239
(21,5) (21,6) 354
(22,5) (22,6) 124
(23,5) (23,6) 74
(24,5) (24,6) 209
(25,5) (25,6) 61
(26,5) (26,6) 352
(27,5) (27,6) 89
(28,5) (28,6) 335
(29,5) (29,6) 14
(30,5) (30,6) 28
(31,5) (31,6) 181
(32,5) (32,6) 16
(33,5) (33,6) 284
(34,5) (34,6) 132
(35,5) (35,6) 129
(36,5) (36,6) 319
(37,5) (37,6) 138
(38,5) (38,6) 328
(39,5) (39,6) 91
(40,5) (40,6) 4
(41,5) (41,6) 55
(42,5) (42,6) 174
(43,5) (43,6) 135
(44,5) (44,6) 221
(45,5) (45,6) 48
(46,5) (46,6) 142
(47,5) (47,6) 346
(48,5) (48,6) 382
(49,5) (49,6) 181
(50,5) (50,6) 43
(51,5) (51,6) 338
(52,5) (52,6) 18
(53,5) (53,6) 56
(54,5) (54,6) 73
(55,5) (55,6) 387
(56,5) (56,6) 92
(57,5) (57,6) 193
(58,5) (58,6) 319
(59,5) (59,6) 92
(60,5) (60,6) 255
(61,5) (61,6) 271
(62,5) (62,6) 299
(63,5) (63,6) 184
(64,5) (64,6) 70
(65,5) (65,6) 106
(66,5) (66,6) 108
(67,5) (67,6) 49
(68,5) (68,6) 160
(69,5) (69,6) 52
(70,5) (70,6) 256
(71,5) (71,6) 63
(72,5) (72,6) 252
(73,5) (73,6) 254
(74,5) (74,6) 378
(75,5) (75,6) 189
(76,5) (76,6) 125
(77,5) (77,6) 278
(78,5) (78,6) 319
(79,5) (79,6) 140
(80,5) (80,6) 139
(81,5) (81,6) 269
(82,5) (82,6) 142
(83,5) (83,6) 385
(84,5) (84,6) 390
(85,5) (85,6) 199
(86,5) (86,6) 218
(87,5) (87,6) 362
(88,5) (88,6) 167
(89,5) (89,6) 268
(90,5) (90,6) 213
(91,5) (91,6) 159
(92,5) (92,6) 100
(93,5) (93,6) 299
(94,5) (94,6) 346
(95,5) (95,6) 243
(96,5) (96,6) 16
(97,5) (97,6) 350
(98,5) (98,6) 119
(99,5) (99,6) 361
(100,5) (100,6) 397
(101,5) (101,6) 169
(102,5) (102,6) 213
(103,5) (103,6) 355
(104,5) (104,6) 223
(105,5) (105,6) 108
(106,5) (106,6) 198
(107,5) (107,6) 21
(108,5) (108,6) 398
(109,5) (109,6) 312
(110,5) (110,6) 26
(111,5) (111,6) 24
(112,5) (112,6) 231
(113,5) (113,6) 14
(114,5) (114,6) 286
(115,5) (115,6) 363
(116,5) (116,6) 272
(117,5) (117,6) 355
(118,5) (118,6) 306
(119,5) (119,6) 388
(120,5) (120,6) 6
(121,5) (121,6) 400
(122,5) (122,6) 196
(123,5) (123,6) 116
(124,5) (124,6) 37
(125,5) (125,6) 309
(126,5) (126,6) 126
(127,5) (127,6) 9
(128,5) (128,6) 355
(129,5) (129,6) 333
(130,5) (130,6) 185
(131,5) (131,6) 349
(132,5) (132,6) 105
(133,5) (133,6) 205
(134,5) (134,6) 333
(135,5) (135,6) 235
(136,5) (136,6) 175
(137,5) (137,6) 343
(138,5) (138,6) 230
(139,5) (139,6) 177
(140,5) (140,6) 67
(141,5) (141,6) 187
(142,5) (142,6) 276
(143,5) (143,6) 1
(144,5) (144,6) 150
(145,5) (145,6) 348
(146,5) (146,6) 175
(147,5) (147,6) 258
(148,5) (148,6) 387
(149,5) (149,6) 144
(150,5) (150,6) 309
(151,5) (151,6) 276
(152,5) (152,6) 237
(153,5) (153,6) 162
(154,5) (154,6) 386
(155,5) (155,6) 97
(156,5) (156,6) 147
(157,5) (157,6) 178
(158,5) (158,6) 187
(159,5) (159,6) 286
(160,5) (160,6) 99
(1,6) (1,7) 395
(2,6) (2,7) 183
(3,6) (3,7) 257
(4,6) (4,7) 121
(5,6) (5,7) 373
(6,6) (6,7) 234
(7,6) (7,7) 284
(8,6) (8,7) 305
(9,6) (9,7) 33
(10,6) (10,7) 79
(11,6) (11,7) 135
(12,6) (12,7) 161
(13,6) (13,7) 290
(14,6) (14,7) 273
(15,6) (15,7) 236
(16,6) (16,7) 156
(17,6) (17,7) 91
(18,6) (18,7) 118
(19,6) (19,7) 364
(20,6) (20,7) 212
(21,6) (21,7) 163
(22,6) (22,7) 361
(23,6) (23,7) 223
(24,6) (24,7) 127
(25,6) (25,7) 85
(26,6) (26,7) 194
(27,6) (27,7) 201
(28,6) (28,7) 69
(29,6) (29,7) 324
(30,6) (30,7) 228
(31,6) (31,7) 71
(32,6) (32,7) 259
(33,6) (33,7) 172
(34,6) (34,7) 83
(35,6) (35,7) 9
(36,6) (36,7) 191
(37,6) (37,7) 388
(38,6) (38,7) 48
(39,6) (39,7) 42
(40,6) (40,7) 185
(41,6) (41,7) 127
(42,6) (42,7) 67
(43,6) (43,7) 74
(44,6) (44,7) 138
(45,6) (45,7) 337
(46,6) (46,7) 180
(47,6) (47,7) 189
(48,6) (48,7) 364
(49,6) (49,7) 319
(50,6) (50,7) 390
(51,6) (51,7) 12
(52,6) (52,7) 102
(53,6) (53,7) 31
(54,6) (54,7) 352
(55,6) (55,7) 9
(56,6) (56,7) 386
(57,6) (57,7) 111
(58,6) (58,7) 280
(59,6) (59,7) 255
(60,6) (60,7) 316
(61,6) (61,7) 49
(62,6) (62,7) 94
(63,6) (63,7) 376
(64,6) (64,7) 73
(65,6) (65,7) 180
(66,6) (66,7) 163
(67,6) (67,7) 105
(68,6) (68,7) 370
(69,6) (69,7) 222
(70,6) (70,7) 69
(71,6) (71,7) 152
(72,6) (72,7) 156
(73,6) (73,7) 69
(74,6) (74,7) 264
(75,6) (75,7) 398
(76,6) (76,7) 277
(77,6) (77,7) 109
(78,6) (78,7) 386
(79,6) (79,7) 326
(80,6) (80,7) 140
(81,6) (81,7) 43
(82,6) (82,7) 146
(83,6) (83,7) 213
(84,6) (84,7) 237
(85,6) (85,7) 328
(86,6) (86,7) 366
(87,6) (87,7) 100
(88,6) (88,7) 153
(89,6) (89,7) 242
(90,6) (90,7) 329
(91,6) (91,7) 233
(92,6) (92,7) 78
(93,6) (93,7) 364
(94,6) (94,7) 45
(95,6) (95,7) 356
(96,6) (96,7) 200
(97,6) (97,7) 262
(98,6) (98,7) 202
(99,6) (99,7) 229
(100,6) (100,7) 35
(101,6) (101,7) 391
(102,6) (102,7) 219
(103,6) (103,7) 187
(104,6) (104,7) 332
(105,6) (105,7) 342
(106,6) (106,7) 305
(107,6) (107,7) 22
(108,6) (108,7) 227
(109,6) (109,7) 345
(110,6) (110,7) 14
(111,6) (111,7) 238
(112,6) (112,7) 127
(113,6) (113,7) 244
(114,6) (114,7) 176
(115,6) (115,7) 93
(116,6) (116,7) 158
(117,6) (117,7) 67
(118,6) (118,7) 105
(119,6) (119,7) 87
(120,6) (120,7) 279
(121,6) (121,7) 147
(122,6) (122,7) 103
(123,6) (123,7) 202
(124,6) (124,7) 126
(125,6) (125,7) 74
(126,6) (126,7) 228
(127,6) (127,7) 336
(128,6) (128,7) 99
(129,6) (129,7) 327
(130,6) (130,7) 252
(131,6) (131,7) 225
(132,6) (132,7) 232
(133,6) (133,7) 132
(134,6) (134,7) 278
(135,6) (135,7) 102
(136,6) (136,7) 253
(137,6) (137,7) 280
(138,6) (138,7) 82
(139,6) (139,7) 120
(140,6) (140,7) 122
(141,6) (141,7) 73
(142,6) (142,7) 285
(143,6) (143,7) 167
(144,6) (144,7) 104
(145,6) (145,7) 270
(146,6) (146,7) 228
(147,6) (147,7) 86
(148,6) (148,7) 76
(149,6) (149,7) 131
(150,6) (150,7) 275
(151,6) (151,7) 20
(152,6) (152,7) 209
(153,6) (153,7) 358
(154,6) (154,7) 360
(155,6) (155,7) 166
(156,6) (156,7) 177
(157,6) (157,7) 334
(158,6) (158,7) 24
(159,6) (159,7) 239
(160,6) (160,7) 272
(1,7) (1,8) 155
(2,7) (2,8) 285
(3,7) (3,8) 33
(4,7) (4,8) 21
(5,7) (5,8) 248
